EventUrl,EventName,EventDate,EventVenue,AllAvailableTickets
https://www.ticketmaster.com/harry-styles-love-on-tour-2022-austin-texas-09-28-2022/event/3A005CA417909C5F,Harry Styles Love on Tour 2022: Moody Center is Harry's House,,"Moody Center ATX, Austin, TX",0
https://www.ticketmaster.com/harry-styles-love-on-tour-2022-inglewood-california-10-31-2022/event/09005CA4F84C8B71,Harry Styles Love on Tour 2022: Kia Forum is Harry's House,10/31/2022,"Kia Forum, Inglewood, CA",0
https://www.ticketmaster.com/luke-combs-the-middle-of-somewhere-uncasville-connecticut-11-04-2022/event/1D005C9BF4E539A3,Luke Combs: The Middle of Somewhere Tour,11/04/2022,"Mohegan Sun Arena, Uncasville, CT",85
https://www.ticketmaster.com/luke-combs-the-middle-of-somewhere-uncasville-connecticut-11-05-2022/event/1D005C9BF4E1399D,Luke Combs: The Middle of Somewhere Tour,11/05/2022,"Mohegan Sun Arena, Uncasville, CT",43
https://www.ticketmaster.com/luke-combs-canadian-tour-2022-québec-quebec-11-12-2022/event/31005B2D90771E8B,Luke Combs Canadian Tour 2022,11/12/2022,"Centre Videotron, Québec, QC",51
https://www.ticketmaster.com/luke-combs-atlanta-georgia-07-30-2022/event/0E005B68FD56522C,Luke Combs,07/30/2022,"Mercedes-Benz Stadium, Atlanta, GA",349
https://www.ticketmaster.com/an-evening-with-they-might-be-portland-maine-09-02-2022/event/01005854EB94A33B,An Evening with They Might Be Giants,,"State Theatre, Portland, ME",0
https://www.ticketmaster.com/zach-bryan-asheville-north-carolina-09-13-2022/event/2D005CB0BD61795B,Zach Bryan,09/13/2022,"Harrah's Cherokee Center - Asheville, Asheville, NC",114
https://www.ticketmaster.com/zach-bryan-new-york-new-york-09-27-2022/event/1D005CB0E2803685,Zach Bryan,09/27/2022,"The Rooftop at Pier 17, New York, NY",2
https://www.ticketmaster.com/lil-nas-x-long-live-montero-san-francisco-california-10-23-2022/event/1C005C8E379E759C,Lil Nas X - Long Live Montero,10/23/2022,"Bill Graham Civic Auditorium, San Francisco, CA",0
